Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
313,Trevor Etienne,https://www.footballguys.com/player/Trevor+Etienne/EtieTr01,EtieTr01,RB83,CAR/14,-,216,-,-,-,257,-,-,234,-,-,-
315,Antonio Gibson,https://www.footballguys.com/player/Antonio+Gibson/GibsAn00,GibsAn00,RB84,NE/14,-,-,-,-,-,-,-,-,232,-,-,-
318,Jermar Jefferson,https://www.footballguys.com/player/Jermar+Jefferson/JeffJe00,JeffJe00,RB85,TEN/10,-,-,-,-,226,-,-,-,-,-,-,-
321,Devin Neal,https://www.footballguys.com/player/Devin+Neal/NealDe00,NealDe00,RB86,NO/11,233,-,-,248,-,-,-,-,-,-,-,-
323,Carson Steele,https://www.footballguys.com/player/Carson+Steele/SteeCa00,SteeCa00,RB87,KC/10,-,-,234,-,-,-,-,-,-,-,-,-
328,Julius Chestnut,https://www.footballguys.com/player/Julius+Chestnut/ChesJu00,ChesJu00,RB88,TEN/10,-,-,243,-,-,-,-,-,-,-,-,-
332,Clyde Edwards-Helaire,https://www.footballguys.com/player/Clyde+Edwards-Helaire/EdwaCl00,EdwaCl00,RB89,KC/10,-,-,245,-,-,-,-,-,-,-,-,-
335,Kenneth Gainwell,https://www.footballguys.com/player/Kenneth+Gainwell/GainKe00,GainKe00,RB90,PIT/5,-,-,-,-,-,-,-,-,237,-,-,-
344,Zamir White,https://www.footballguys.com/player/Zamir+White/WhitZa00,WhitZa00,RB91,LV/8,-,-,-,-,240,-,-,-,-,-,-,-
348,Jordan James,https://www.footballguys.com/player/Jordan+James/JameJo02,JameJo02,RB92,SF/14,-,-,-,-,-,-,-,-,250,-,-,-
350,Samaje Perine,https://www.footballguys.com/player/Samaje+Perine/PeriSa00,PeriSa00,RB93,CIN/10,249,158,-,-,-,354,-,-,-,-,-,-
353,Emanuel Wilson,https://www.footballguys.com/player/Emanuel+Wilson/WilsEm00,WilsEm00,RB94,GB/5,-,-,-,-,-,339,-,-,-,-,247,-
